RBD,PAGO_MATRICULA2020,PAGO_MENSUAL2020,PAGO_MATRICULA2021,PAGO_MENSUAL2021,PAGO_MATRICULA2022,PAGO_MENSUAL2022,PAGO_MATRICULA2023,PAGO_MENSUAL2023,RURAL
11716,GRATUITO,GRATUITO,GRATUITO,$25.001 A $50.000,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,0.0
31002,GRATUITO,$25.001 A $50.000,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,GRATUITO,GRATUITO,0.0
10240,MAS DE $100.000,MAS DE $100.000,GRATUITO,$25.001 A $50.000,GRATUITO,$25.001 A $50.000,GRATUITO,GRATUITO,0.0
9216,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,0.0
16798,MAS DE $100.000,MAS DE $100.000,GRATUITO,GRATUITO,GRATUITO,$25.001 A $50.000,SIN INFORMACION,SIN INFORMACION,0.0
14314,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,MAS DE $100.000,MAS DE $100.000,GRATUITO,$25.001 A $50.000,0.0
3128,$1.000 A $10.000,$25.001 A $50.000,SIN INFORMACION,SIN INFORMACION,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25256,GRATUITO,$50.001 A $100.000,$1.000 A $10.000,$25.001 A $50.000,SIN INFORMACION,SIN INFORMACION,GRATUITO,$25.001 A $50.000,0.0
25654,MAS DE $100.000,MAS DE $100.000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,MAS DE $100.000,MAS DE $100.000,0.0
3478,$1.000 A $10.000,$50.001 A $100.000,MAS DE $100.000,MAS DE $100.000,$1.000 A $10.000,$50.001 A $100.000,GRATUITO,GRATUITO,1.0
20513,GRATUITO,GRATUITO,$1.000 A $10.000,$50.001 A $100.000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,0.0
16958,GRATUITO,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,SIN INFORMACION,SIN INFORMACION,0.0
130,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$1.000 A $10.000,$50.001 A $100.000,$1.000 A $10.000,$50.001 A $100.000,0.0
16932,GRATUITO,$25.001 A $50.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,0.0
31040,$1.000 A $10.000,$25.001 A $50.000,GRATUITO,$25.001 A $50.000,GRATUITO,GRATUITO,MAS DE $100.000,MAS DE $100.000,0.0
12868,SIN INFORMACION,SIN INFORMACION,$1.000 A $10.000,$25.001 A $50.000,GRATUITO,GRATUITO,$1.000 A $10.000,$50.001 A $100.000,0.0
42130,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,GRATUITO,$25.001 A $50.000,SIN INFORMACION,SIN INFORMACION,0.0
6135,GRATUITO,GRATUITO,GRATUITO,GRATUITO,$1.000 A $10.000,$25.001 A $50.000,GRATUITO,GRATUITO,1.0
40099,GRATUITO,GRATUITO,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,GRATUITO,GRATUITO,0.0
99999,GRATUITO,$50.001 A $100.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
17793,GRATUITO,MAS DE $100.000,GRATUITO,$50.001 A $100.000,GRATUITO,GRATUITO,GRATUITO,$25.001 A $50.000,0.0
15600,GRATUITO,GRATUITO,GRATUITO,MAS DE $100.000,GRATUITO,GRATUITO,$1.000 A $10.000,$25.001 A $50.000,0.0
